bin,n,pred_mean,obs,horizon
0,55,0.6758823893286965,0.61639227994228,12
1,55,0.7325538299300454,0.7488088875326807,12
2,54,0.7636575588473568,0.8558863425430142,12
3,55,0.782399734583768,0.6554717197817975,12
4,54,0.7967042812594661,0.8532310324950779,12
5,55,0.8093369787389582,0.888681536444365,12
6,54,0.821508605171133,0.7581394487941211,12
7,55,0.832155214656483,0.8963235294117643,12
8,54,0.846853831300029,0.7895633227695684,12
9,55,0.8771031520583413,0.8779227899293689,12
0,55,0.54320911006494,0.4724372167460163,24
1,55,0.6173087846149098,0.7179541793427971,24
2,54,0.6551745114503084,0.7240867371192455,24
3,55,0.6796250527555292,0.6338696027608846,24
4,54,0.700490187715601,0.7514857020973473,24
5,55,0.7189714117483659,0.73280077463084,24
6,54,0.7353020939562056,0.6347552467795634,24
7,55,0.7506660786542025,0.9123904881101375,24
8,54,0.7722603700779103,0.7306785395866598,24
9,55,0.8146584749221801,0.6568443245006483,24
0,55,0.46727592728354717,0.4849511962038284,36
1,55,0.546810041774403,0.6898644905626291,36
2,54,0.5913613880122149,0.5771700852288517,36
3,55,0.6173109623518858,0.6334794679569663,36
4,54,0.6424501869413588,0.7158464348443913,36
5,55,0.6637494255195965,0.5361016534235,36
6,54,0.681285164974354,0.6145173090849361,36
7,55,0.6992828737605702,0.7779213273938337,36
8,54,0.7238071770579727,0.7580155901983784,36
9,55,0.7739825855601917,0.4865513514819615,36
0,55,0.4474839746952057,0.5089352592134047,48
1,55,0.5289825975894928,0.6055846042039164,48
2,54,0.5734809791600263,0.5295948156730378,48
3,55,0.6004279472611167,0.6601200516179643,48
4,54,0.6261835153456088,0.5193141558175377,48
5,55,0.6476344617930325,0.6644350950660464,48
6,54,0.666433326624058,0.6481159420289851,48
7,55,0.6846208962527188,0.7429610480955657,48
8,54,0.710565655319779,0.7619406910709925,48
9,55,0.7627725839614868,0.4865513514819615,48
0,55,0.42881945940581234,0.508438252124329,60
1,55,0.5132700616663153,0.643615703917178,60
2,54,0.5588650857960736,0.5081478766757542,60
3,55,0.5873942017555237,0.556430969560943,60
4,54,0.6109192156129413,0.5311788790940268,60
5,55,0.6340371619571339,0.701279077026539,60
6,54,0.6535729269186655,0.6210485779843954,60
7,55,0.6721062774007971,0.7522259434167103,60
8,54,0.6984113968080945,0.7553105766807258,60
9,55,0.7527035106312144,0.5188254936608103,60
