bin,n,pred_mean,obs,horizon
0,55,0.6727405313331856,0.6546313488000832,12
1,55,0.7294515481402685,0.6695442721754998,12
2,54,0.7628318592237906,0.7681128310699274,12
3,55,0.7836649080545783,0.8855154965211893,12
4,54,0.7997229375748043,0.8208291997354493,12
5,55,0.8119328382985751,0.8297454206268802,12
6,54,0.8238926829856887,0.8404106984408671,12
7,55,0.837553504026,0.7053350676880087,12
8,54,0.8490776224879412,0.8576667408011468,12
9,55,0.8729345605203378,0.8625761471289922,12
0,55,0.5587775225812349,0.4748552293281503,24
1,55,0.6238156547530745,0.7157891975855089,24
2,54,0.6566862891408037,0.669390472228001,24
3,55,0.6812052529666676,0.7572818573105519,24
4,54,0.6999113774118731,0.6347560292291704,24
5,55,0.7203923296743074,0.8763569257490236,24
6,54,0.7367188723852878,0.6671206807626454,24
7,55,0.7526437360950975,0.8450649451660575,24
8,54,0.7737781376508496,0.7035784381109481,24
9,55,0.8061472243502178,0.6881471856337557,24
0,55,0.4998250007522869,0.4313496333570342,36
1,55,0.5643279276186819,0.680466489444353,36
2,54,0.597046106432321,0.5683049300060864,36
3,55,0.6226539656202155,0.7651724541879342,36
4,54,0.6444784438824587,0.5241690861435184,36
5,55,0.6623484593513311,0.822857142857143,36
6,54,0.681512222424056,0.7638634391279898,36
7,55,0.6998593334530895,0.6228080122115849,36
8,54,0.722614758958181,0.5803906882591094,36
9,55,0.7605814935025356,0.6955727718079435,36
0,55,0.4811599926283761,0.432304139224661,48
1,55,0.5493594213134081,0.5548893765058024,48
2,54,0.580958042686765,0.5762867647058816,48
3,55,0.6051583798149981,0.6325904954499492,48
4,54,0.6261410620239037,0.6780161723099479,48
5,55,0.6466695556762647,0.8059230919106574,48
6,54,0.665692978009748,0.7604545708008521,48
7,55,0.6864636210914944,0.61764476103796,48
8,54,0.7097968634566635,0.5100163811343936,48
9,55,0.7498442174132952,0.73904607004594,48
0,55,0.4626759389617318,0.4513686804436043,60
1,55,0.5343372589777273,0.6296144351095173,60
2,54,0.5672430036977671,0.4795788315973346,60
3,55,0.5923450358721237,0.519548626530558,60
4,54,0.6130216911437705,0.6622374101173399,60
5,55,0.6347763949513818,0.9047944616443063,60
6,54,0.6540272092044866,0.6497105154080218,60
7,55,0.6760077488201465,0.5575939647256255,60
8,54,0.6986391973148982,0.5178352558672374,60
9,55,0.7413458450643357,0.7795578231292523,60
