bin,n,pred_mean,obs,horizon
0,55,0.6543172398956045,0.5992196209587518,12
1,55,0.7177426538969381,0.6660506098725022,12
2,54,0.7570564237774451,0.8322673119307062,12
3,55,0.7783025944666275,0.9036955322669612,12
4,54,0.800852618942471,0.8369167499804158,12
5,55,0.8165853717983017,0.785780760188087,12
6,54,0.8279717545413682,0.8178810025084691,12
7,55,0.8415768407811816,0.8303461819510415,12
8,54,0.858868378226856,0.8159082324407073,12
9,55,0.8807489592210072,0.8298491626390923,12
0,55,0.550514122155567,0.47058567303862997,24
1,55,0.619072859544261,0.6426632668571304,24
2,54,0.6498882344074383,0.6734870530819521,24
3,55,0.6760021722082823,0.7540861300861306,24
4,54,0.6972178093489009,0.7455787476280831,24
5,55,0.7176459890436954,0.79182253153545,24
6,54,0.738640457204384,0.8026103762492655,24
7,55,0.7598449160781559,0.7599606008622932,24
8,54,0.7817914218656017,0.6938197567882721,24
9,55,0.8203354738307641,0.6716354336200885,24
0,55,0.5060390095340811,0.46411050250059516,36
1,55,0.5663576309239304,0.5523668711005854,36
2,54,0.5949233520989311,0.617384816906021,36
3,55,0.6211584873504943,0.7948730608577156,36
4,54,0.6414210646456731,0.7253978491398055,36
5,55,0.6595441532787071,0.6599637724912452,36
6,54,0.6820376224947994,0.598779703468226,36
7,55,0.7035688477499278,0.8111145924229736,36
8,54,0.7288907552115874,0.5780839497537368,36
9,55,0.7752100932493018,0.6598718251361841,36
0,55,0.4878576197125364,0.49091661258105673,48
1,55,0.5517522438266794,0.4932129153230534,48
2,54,0.5793204953412509,0.6346747647586645,48
3,55,0.6022912570178635,0.5988115657926979,48
4,54,0.6249330373791229,0.753050215415807,48
5,55,0.643419016293201,0.6272491134134054,48
6,54,0.6672011639225842,0.6565787815787812,48
7,55,0.6907121063330504,0.8303462720315399,48
8,54,0.716750348571882,0.5335767661349058,48
9,55,0.7652611382593009,0.6644300043386923,48
0,55,0.46969591334902855,0.5243604013344354,60
1,55,0.536919764830853,0.34133249371169433,60
2,54,0.5675159503383244,0.6657972910606792,60
3,55,0.5923420060036888,0.6214471460919527,60
4,54,0.6138158244023927,0.6692122632780214,60
5,55,0.632662997142692,0.6529554655870444,60
6,54,0.6548410804264299,0.6297116035543551,60
7,55,0.6803895024912144,0.8071956961883373,60
8,54,0.7084072117168044,0.5454533591680181,60
9,55,0.7568477365838501,0.6772976985403645,60
