fold,RSF_cindex,RSF_ibs,RSF_auc_12,RSF_auc_24,RSF_auc_36,RSF_auc_48,RSF_auc_60,DeepSurv_cindex,DeepSurv_ibs,DeepSurv_auc_12,DeepSurv_auc_24,DeepSurv_auc_36,DeepSurv_auc_48,DeepSurv_auc_60,Ensemble_cindex,Ensemble_ibs,Ensemble_auc_12,Ensemble_auc_24,Ensemble_auc_36,Ensemble_auc_48,Ensemble_auc_60
1,0.5146341463414634,,0.5896769637195796,0.6254051175553702,0.6111119579819005,0.5797780209125891,0.5407130571112821,0.6365853658536585,,0.6862025478473168,0.6925916770065536,0.750523940044661,0.70321100135783,0.7951186406558334,0.5560975609756098,,0.6090853152631703,0.6532211411685747,0.6809163463526156,0.6181350535119967,0.6400842055123432
2,0.6007194244604317,0.267843859615508,0.4913595326567216,0.42976948244357716,0.3885610213962569,0.4502172315965616,0.4502172315965616,0.5,0.2650836129983169,0.40565906332602747,0.37859321727983763,0.35641062439291815,0.49400387751363734,0.49400387751363734,0.5737410071942446,0.26550976628774225,0.4568018599753021,0.4232577557879506,0.369657698329783,0.4856682536034173,0.4856682536034173
3,0.6333333333333333,0.24544535817358085,0.5964896874898834,0.6004257934168846,0.4934816631534749,0.5402417099806964,0.4928355659851458,0.5575757575757576,0.2688198344398264,0.5229516938228498,0.47579924994020417,0.3516230545437814,0.33032071046090383,0.36504566622683404,0.5954545454545455,0.25598248466167983,0.5476714158004736,0.5307691002295625,0.4228795413986213,0.437657706076932,0.44450984803952537
4,0.6057441253263708,0.18251437502601697,0.659942848203681,0.7070081891409931,0.69272810294996,0.7599412534061624,0.764083233724437,0.6005221932114883,0.19310336279419293,0.6554884131364662,0.6601323341841049,0.6436639356897743,0.6611611044834474,0.6542017145183938,0.6266318537859008,0.1873477147447199,0.6792164222248452,0.701912435888252,0.6988068650727387,0.7355224115272393,0.723385163926232
5,0.7115384615384616,0.18400140432509757,0.6821729949515718,0.7155546449412274,0.745015969147903,0.7873066135583175,0.8199493648372957,0.7008547008547008,0.17721935424609636,0.7286217480715741,0.7429570369941554,0.8036421854714472,0.8166642649909847,0.8540873967901365,0.7083333333333334,0.17985116229348935,0.7100017739075659,0.7207669786547849,0.757637958484938,0.7950009815287314,0.8483488408456243
6,0.572972972972973,0.2390970218216589,0.6548373181682623,0.6589397504422725,0.6702536867134339,0.6491225408725446,0.7027782038236777,0.6270270270270271,0.2445177778172765,0.6823536588818575,0.6460696204961462,0.6975692689810531,0.6673261958791584,0.8556030831321735,0.6054054054054054,0.24103467085173186,0.6756081336475082,0.6480844273057788,0.6871068198385385,0.6587783731943342,0.7861380503393299
7,0.5478547854785478,0.34618118713638085,0.5206808472937443,0.40160003693536994,0.43206074971110764,0.29544582021319754,0.22610069636122387,0.47854785478547857,0.40417967265252885,0.4581510588885888,0.31284266887141676,0.38946610054996655,0.3760929802881816,0.23278927958368087,0.5082508250825083,0.37333484076958756,0.4874487021879052,0.33333121538147326,0.37961191247407555,0.3085830815629911,0.17374273940184773
8,0.7845744680851063,0.21080619312492707,0.807123293241573,0.88801130884794,0.7615838556068583,0.8189159722099847,0.7284130494125208,0.7446808510638298,0.22484401563323234,0.8062360736022598,0.7349377756666174,0.5935789830910744,0.5764556105168145,0.5781952890510615,0.785904255319149,0.2166469249041552,0.8255254872059293,0.8428665618541427,0.7040585226130994,0.7208186650721908,0.682671994358176
9,0.6043613707165109,0.22271992226013612,0.6495379114922692,0.5649104111147504,0.5493846614669258,0.41791530837838875,0.5064664398019119,0.5545171339563862,0.2473637568406575,0.5725594526850927,0.4233696743247427,0.4561604812677258,0.325549251532639,0.4069365644157988,0.5887850467289719,0.23421979355576575,0.5995286693562543,0.4982153310853873,0.5103262241861566,0.3580750421415105,0.4475938026768881
10,0.5603715170278638,0.2386965580871193,0.460633896206179,0.6056534538699311,0.48258167641830907,0.47583539893740023,0.392807457315585,0.5789473684210527,0.23040192242785776,0.5448914253361552,0.6797025907208735,0.5862194746314753,0.5378018209769304,0.3221120568955525,0.565015479876161,0.23334113380492336,0.4959921156045479,0.644619978935938,0.5336360990940744,0.5245326736049116,0.36032414862793083
