,12mo_imp,60mo_imp,delta_pct,12mo_rank,60mo_rank,rank_shift_12_to_60
pca_num_2,0.013138012,0.024293251,84.90812004129697,3,1,2
Perc screws?,0.018134614,0.020899713,15.247630856658983,1,2,-1
(1 = PI>50),0.008609519,0.015694553,82.2930293782963,6,3,3
dx_spondylolisthesis,0.015431303,0.009594705,-37.82310541112439,2,7,-5
pca_num_3,0.009666312,0.012791972,32.33560017512367,4,4,0
Age,0.0091965115,0.010830003,17.762077500800153,5,5,0
pca_num_1,0.006724082,0.010360707,54.08359089017654,9,6,3
dx_scoliosis,0.0040108124,0.008111099,102.23082485732814,12,8,4
Anterior + Posterior Apporoach,0.008212714,0.006534292,-20.436873851932503,8,10,-2
Open Check V2,0.0031177404,0.007546952,142.06479795431332,13,9,4
PI-LL Mismatch Category (1 = mismatch > +/- 10,0.0016907083,0.006268223,270.7453852329228,20,11,9
dx_deformity,0.00566269,0.0025766604,-54.49759036782872,10,19,-9
dx_spondylosis,0.0020184743,0.0061957994,206.9545844601539,17,12,5
Additional Procedures w/in surgery_perc screws,0.002927672,0.0037315772,27.458854680442336,14,14,0
Standalone XLIF Check,0.008226689,0.0026887623,-67.31659237391861,7,17,-10
