,12mo,24mo,36mo,48mo,60mo,mean
pca_num_2,0.013138012,0.020958722,0.02261305,0.023433113,0.024293251,0.02088723
Perc screws?,0.018134614,0.015355358,0.014072084,0.01635324,0.020899713,0.016963001
(1 = PI>50),0.008609519,0.014134376,0.017442128,0.01762809,0.015694553,0.014701733
dx_spondylolisthesis,0.015431303,0.018965295,0.01429626,0.011724713,0.009594705,0.0140024545
pca_num_3,0.009666312,0.011430071,0.0112384595,0.012335122,0.012791972,0.011492387
Age,0.0091965115,0.010147711,0.010608765,0.010783369,0.010830003,0.010313272
pca_num_1,0.006724082,0.009201583,0.0091818245,0.010256397,0.010360707,0.009144918
dx_scoliosis,0.0040108124,0.004111716,0.0063995323,0.0075725648,0.008111099,0.006041145
Anterior + Posterior Apporoach,0.008212714,0.004293698,0.0043066237,0.004217737,0.006534292,0.005513013
Open Check V2,0.0031177404,0.0046679587,0.0051602954,0.006403173,0.007546952,0.0053792237
PI-LL Mismatch Category (1 = mismatch > +/- 10,0.0016907083,0.0047021965,0.0053779413,0.006531186,0.006268223,0.0049140514
dx_deformity,0.00566269,0.007027551,0.0049148896,0.003906227,0.0025766604,0.0048176036
dx_spondylosis,0.0020184743,0.0040485053,0.004838519,0.0056639034,0.0061957994,0.00455304
Additional Procedures w/in surgery_perc screws,0.002927672,0.0033505356,0.004346936,0.0040166723,0.0037315772,0.0036746785
Standalone XLIF Check,0.008226689,0.0035526475,0.0020406607,0.001653399,0.0026887623,0.0036324318
Open,0.002439326,0.0034919193,0.00306281,0.003873742,0.004435117,0.0034605828
Retroperitoneal Approach (LLIF ± ALIF),0.0056114895,0.0027119406,0.002499608,0.0019626736,0.0029642018,0.003149983
prior back surgeries? (y=1),0.0016597745,0.0054508667,0.0035837218,0.0024474005,0.0023879574,0.0031059443
dx_stenosis,0.0022654175,0.0017128605,0.0022184427,0.0023757888,0.0026146767,0.0022374373
dx_flat_back,0.0010383982,0.000530361,0.0023415203,0.0036362729,0.003476234,0.0022045574
PI-LL Mismatch Category (1 = mismatch > +/- 9,0.0016640153,0.0023043042,0.0018164167,0.002563357,0.002427081,0.0021550346
Sex,0.0018536444,0.0020674972,0.0015492755,0.0024442435,0.001734054,0.0019297429
acute thigh paresthesia (immediate post op),0.0017791666,0.002727063,0.0008032875,0.00095211243,0.0018670782,0.0016257416
infection 1=yes,0.0006771392,0.0010376063,0.0008150839,0.0008853224,0.0009200623,0.00086704287
ACR (y=1),0.0013977718,0.0010845297,0.0005529584,0.0005202214,0.0007517648,0.0008614493
dx_adjacent_segment,0.00038462147,0.00043003506,0.0006194538,0.00044225858,0.0004043231,0.00045613843
Osteotomies (yes/no),6.292058e-05,0.00015376875,0.00020212973,0.00021211526,0.00021916827,0.00017002053
"Additional Procedures w/in surgery_posterior hardware, laminectomy",0.00018611354,0.00011826423,7.718649e-05,7.27395e-05,6.853794e-05,0.00010456834
Case/Type of Surgery_l4-5 llif,5.4598684e-05,8.635667e-05,7.1587165e-05,6.980208e-05,6.786779e-05,7.004248e-05
Case/Type of Surgery_l2-4 xlif,1.1398286e-17,1.26935456e-17,2.527607e-17,9.917989e-18,7.216447e-18,1.3300467e-17
Case/Type of Surgery_l2-4 llif,1.2138435e-17,9.140834e-18,2.4350884e-17,1.1509308e-17,8.918788e-18,1.3211649e-17
Case/Type of Surgery_l2-5 xlif,1.6801368e-17,1.809663e-17,1.1398286e-17,8.067618e-18,9.066818e-18,1.2686145e-17
Additional Procedures w/in surgery_posterior hardware,1.7911594e-17,1.091719e-17,1.5432095e-17,9.140833e-18,9.843975e-18,1.26491376e-17
Case/Type of Surgery_l4-5 x,1.0880181e-17,1.9502914e-17,1.2952598e-17,9.954997e-18,8.770759e-18,1.241229e-17
PE  1=yes,1.5691148e-17,1.0658138e-17,1.7208449e-17,8.178641e-18,9.510908e-18,1.2249457e-17
"Case/Type of Surgery_llif l4-l5, diskectomy l4-l5",1.0140033e-17,1.310063e-17,1.8577727e-17,7.993605e-18,9.621931e-18,1.18867856e-17
Case/Type of Surgery_xlif l3-l4,1.1842375e-17,7.031411e-18,2.0761165e-17,8.659737e-18,9.732952e-18,1.1605528e-17
Case/Type of Surgery_l4-l5 xlif,1.3692748e-17,1.11022254e-17,1.4432895e-17,1.0436094e-17,8.289663e-18,1.1590724e-17
Case/Type of Surgery_xlif l4-l5 w/ perc screw,9.769959e-18,1.1065218e-17,1.8059623e-17,9.8439745e-18,9.103826e-18,1.156852e-17
femoral palsy (knee extension weakness) 1=yes,1.07321515e-17,1.0288064e-17,1.8392688e-17,7.1794405e-18,1.0695144e-17,1.1457497e-17
MI 1=yes,1.03620775e-17,1.3507711e-17,1.4988008e-17,9.584923e-18,8.5117075e-18,1.1390884e-17
Case/Type of Surgery_l3-5 llif,1.08061676e-17,9.4739006e-18,1.968795e-17,8.7337526e-18,7.068418e-18,1.1154038e-17
Case/Type of Surgery_l2-3 xlif,8.2896625e-18,1.2730553e-17,1.5432095e-17,1.1065217e-17,8.141633e-18,1.1131831e-17
Case/Type of Surgery_l1-2 xlif,1.3174643e-17,1.3544717e-17,1.1139235e-17,8.289663e-18,7.438492e-18,1.071735e-17
ACR level_L4-L5,1.11762416e-17,1.0288063e-17,1.6838378e-17,7.5495145e-18,7.586521e-18,1.0687744e-17
hip flexion weakness (iliopsoas weakness)  1=yes,1.0140035e-17,1.2471502e-17,1.1879383e-17,1.1509309e-17,7.216448e-18,1.06433354e-17
Case/Type of Surgery_l2-5 llif,8.955796e-18,1.2064419e-17,1.2286464e-17,1.0103025e-17,8.400685e-18,1.03620775e-17
Case/Type of Surgery_llif l4-l5 w/ perc screws,1.0584123e-17,8.8817815e-18,1.5691146e-17,8.585722e-18,7.845574e-18,1.03176695e-17
Case/Type of Surgery_xlif l4-l5 w/ diskectomy,1.0806167e-17,9.992002e-18,1.4358881e-17,8.326669e-18,7.62353e-18,1.0221449e-17
ACR level_L3-L4,1.3026612e-17,1.2212447e-17,8.363678e-18,7.808567e-18,7.993603e-18,9.880981e-18
Case/Type of Surgery_xlif l4-l5 w/ perc ped screws,9.547916e-18,1.1620329e-17,1.0103026e-17,8.770759e-18,9.2148474e-18,9.851375e-18
Case/Type of Surgery_xlif l3-l4 w/ diskectomy,1.0732151e-17,1.0399087e-17,1.1657336e-17,6.9573955e-18,8.400686e-18,9.629331e-18
Case/Type of Surgery_l4-5 xlif,9.547914e-18,1.0843174e-17,1.0510107e-17,9.362876e-18,7.771558e-18,9.6071254e-18
DVT  1=yes,1.0658137e-17,9.325871e-18,1.20644185e-17,7.4014856e-18,8.4747e-18,9.584923e-18
Case/Type of Surgery_l3-4 llif,1.1102227e-17,1.2360478e-17,8.067619e-18,9.399885e-18,6.9573955e-18,9.5775215e-18
