event_multiplier,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cindex,std_cindex,time_s
2,0.3,15,30,200,0.6020450804717946,0.09352665846815529,4.042011499404907
2,0.3,15,10,500,0.5968845949243429,0.08330958049262518,8.693373918533325
3,sqrt,15,30,200,0.5944543298643999,0.09149925510005927,3.0357697010040283
2,sqrt,15,10,500,0.5856465369987641,0.11183701540148282,5.959758043289185
2,0.3,15,10,200,0.5830460466364207,0.08065265508865932,2.6532163619995117
3,sqrt,15,30,500,0.5801341764012566,0.12466362807869326,8.294241666793823
2,sqrt,15,30,500,0.5765635993469863,0.10011828461628483,6.405785322189331
3,0.3,15,10,500,0.5747199647068139,0.08851046423952298,6.306456565856934
2,0.3,5,30,200,0.5738501230036551,0.11778436866399392,2.5923044681549072
3,sqrt,5,30,200,0.5704948779932552,0.11564749927011304,3.1147146224975586
2,sqrt,5,10,500,0.5704030020906103,0.0873341011045839,6.316037178039551
3,0.3,5,10,200,0.5681712236038645,0.1004441030090738,2.79757022857666
2,0.3,15,30,500,0.5676085931849688,0.07635575406308934,6.746241807937622
3,0.3,15,30,500,0.5672699775788559,0.0877094152392241,10.235972881317139
2,sqrt,15,10,200,0.5670204328876043,0.09401322171152013,2.829707622528076
2,sqrt,5,10,200,0.5661394325116386,0.09336979189253486,2.8629720211029053
3,0.3,5,30,500,0.5622328016076553,0.09136956872125963,6.989871025085449
2,0.3,5,10,200,0.5616778483981333,0.08149117819647948,3.0624587535858154
3,0.3,15,10,200,0.5596508449723189,0.07830047613296431,3.0510478019714355
2,sqrt,5,30,500,0.5589370390709643,0.10630116037709496,6.65247654914856
2,sqrt,15,30,200,0.5588540805384796,0.10231169179587955,2.585590362548828
3,sqrt,15,10,500,0.5549379662055409,0.1133162883882431,6.9941465854644775
3,sqrt,15,10,200,0.5524956060577133,0.07706964106214502,3.782819986343384
3,sqrt,5,10,500,0.5509027197063473,0.11439323160922871,8.043274641036987
2,sqrt,5,30,200,0.5499529848811694,0.10768297431700628,3.385817527770996
3,sqrt,5,10,200,0.5486844802814133,0.1076509903969857,3.3369133472442627
3,0.3,5,30,200,0.543576125118661,0.10113594630845009,3.136556386947632
3,0.3,5,10,500,0.5432914539997911,0.08882185189019587,7.451486587524414
3,sqrt,5,30,500,0.5400940251164814,0.08189700611840908,7.449293851852417
2,0.3,5,30,500,0.5383693340240707,0.08970466244669122,6.39468789100647
3,0.3,15,30,200,0.5373100621615035,0.12996380352567374,4.858143329620361
2,0.3,5,10,500,0.5349584107638582,0.10768909908368633,5.30115818977356
