max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cindex,std_cindex,time_s
sqrt,12,4,200,0.6001698647328821,0.09575372909978204,2.381699562072754
sqrt,12,12,200,0.6001698647328821,0.09575372909978204,2.186335802078247
sqrt,12,8,200,0.6001698647328821,0.09575372909978204,2.159921169281006
0.5,12,12,800,0.6000663971514828,0.10370813468655925,9.839515209197998
0.5,12,8,800,0.6000663971514828,0.10370813468655925,10.663230895996094
0.5,12,4,800,0.6000663971514828,0.10370813468655925,11.254547119140625
sqrt,12,12,800,0.6000363958923214,0.09305260738139927,7.801936388015747
sqrt,12,8,800,0.6000363958923214,0.09305260738139927,7.552324533462524
sqrt,12,4,800,0.6000363958923214,0.09305260738139927,7.585406541824341
,12,12,800,0.5991368741096997,0.10149210125554053,11.743844985961914
,12,8,800,0.5991368741096997,0.10149210125554053,11.063602447509766
,12,4,800,0.5991368741096997,0.10149210125554053,11.227400541305542
0.5,7,12,400,0.5990366117328909,0.10205182287985756,5.04632568359375
0.5,7,4,400,0.5990366117328909,0.10205182287985756,4.2396650314331055
0.5,7,8,400,0.5990366117328909,0.10205182287985756,4.339193820953369
0.5,12,12,400,0.5982291617920799,0.10076421286822046,5.323662281036377
0.5,12,8,400,0.5982291617920799,0.10076421286822046,5.823387384414673
0.5,12,4,400,0.5982291617920799,0.10076421286822046,5.386175632476807
,12,4,400,0.5982284020616563,0.09794848651119331,5.934237003326416
,12,12,400,0.5982284020616563,0.09794848651119331,5.864269256591797
,12,8,400,0.5982284020616563,0.09794848651119331,5.829505920410156
0.5,7,8,800,0.5973464540881992,0.11116235404819175,10.186772584915161
0.5,7,12,800,0.5973464540881992,0.11116235404819175,11.689308166503906
0.5,7,4,800,0.5973464540881992,0.11116235404819175,8.209826707839966
,12,4,200,0.5964956590927117,0.10097931341071649,3.260131597518921
,12,8,200,0.5964956590927117,0.10097931341071649,3.1646759510040283
,12,12,200,0.5964956590927117,0.10097931341071649,3.224602222442627
