max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cindex,std_cindex,time_s
,12,12,800,0.5989777621332977,0.10266251679623556,11.331947326660156
,12,8,800,0.5989777621332977,0.10266251679623556,11.312545537948608
,12,4,800,0.5989777621332977,0.10266251679623556,11.526405811309814
sqrt,12,8,400,0.5977105072726865,0.09676333496437321,5.669128894805908
sqrt,12,12,400,0.5977105072726865,0.09676333496437321,5.821256160736084
sqrt,12,4,400,0.5977105072726865,0.09676333496437321,6.059797286987305
,7,12,200,0.5967755136124746,0.10890604022230302,3.2942888736724854
,7,8,200,0.5967755136124746,0.10890604022230302,3.8822569847106934
,7,4,200,0.5967755136124746,0.10890604022230302,6.2348339557647705
sqrt,12,12,800,0.5961938849882079,0.09687644517957855,10.911232709884644
sqrt,12,4,800,0.5961938849882079,0.09687644517957855,10.863407850265503
sqrt,12,8,800,0.5961938849882079,0.09687644517957855,11.092441320419312
0.5,12,8,200,0.5955036099424227,0.10247384332418384,6.002842426300049
0.5,12,12,200,0.5955036099424227,0.10247384332418384,6.035322427749634
0.5,12,4,200,0.5955036099424227,0.10247384332418384,6.092869520187378
0.5,12,8,800,0.5954896169624405,0.09840070957547688,21.858644247055054
0.5,12,4,800,0.5954896169624405,0.09840070957547688,22.11808681488037
0.5,12,12,800,0.5954896169624405,0.09840070957547688,21.9407217502594
sqrt,12,12,200,0.5952920720387851,0.09485724589982307,3.225297451019287
sqrt,12,8,200,0.5952920720387851,0.09485724589982307,3.167802333831787
sqrt,12,4,200,0.5952920720387851,0.09485724589982307,3.240949869155884
,12,4,400,0.594228504080134,0.09939271291404683,6.278473615646362
,12,8,400,0.594228504080134,0.09939271291404683,5.993973255157471
,12,12,400,0.594228504080134,0.09939271291404683,5.939692735671997
,12,4,200,0.5922676725675494,0.10171456917843126,3.422689437866211
,12,8,200,0.5922676725675494,0.10171456917843126,3.311699628829956
,12,12,200,0.5922676725675494,0.10171456917843126,3.248673915863037
0.5,12,12,400,0.5917329950555772,0.10508330564400951,11.302512407302856
0.5,12,8,400,0.5917329950555772,0.10508330564400951,11.374614715576172
0.5,12,4,400,0.5917329950555772,0.10508330564400951,11.366677284240723
,7,4,400,0.5912718403093936,0.09950185723559356,11.645793676376343
,7,8,400,0.5912718403093936,0.09950185723559356,6.4596617221832275
,7,12,400,0.5912718403093936,0.09950185723559356,6.056619882583618
0.5,7,4,800,0.5889557148604337,0.10506321644421752,22.40067410469055
0.5,7,12,800,0.5889557148604337,0.10506321644421752,22.637278079986572
0.5,7,8,800,0.5889557148604337,0.10506321644421752,21.90781044960022
0.5,7,12,400,0.5886040201779148,0.10264516778949054,11.44112777709961
0.5,7,8,400,0.5886040201779148,0.10264516778949054,11.653072357177734
0.5,7,4,400,0.5886040201779148,0.10264516778949054,11.320624351501465
0.5,7,8,200,0.5883030107566662,0.10561768785186634,6.236053943634033
0.5,7,4,200,0.5883030107566662,0.10561768785186634,6.032575845718384
0.5,7,12,200,0.5883030107566662,0.10561768785186634,6.109984636306763
,7,12,800,0.5867947556139947,0.10735815889834621,11.610210180282593
,7,8,800,0.5867947556139947,0.10735815889834621,11.529508113861084
,7,4,800,0.5867947556139947,0.10735815889834621,22.546621322631836
sqrt,7,4,200,0.5836283913389196,0.10144417034847429,3.139892816543579
sqrt,7,8,200,0.5836283913389196,0.10144417034847429,3.1854958534240723
sqrt,7,12,200,0.5836283913389196,0.10144417034847429,3.2128536701202393
,3,12,400,0.581440338616267,0.10700579859108612,12.145916938781738
,3,8,800,0.5814307567537031,0.10308554230755286,23.96339201927185
,3,12,800,0.5813935295081821,0.1075637362221332,23.61219882965088
,3,12,200,0.5813677676159832,0.11155203182165732,6.568309545516968
sqrt,7,8,400,0.5806801381497211,0.10088557826891738,6.007580995559692
sqrt,7,12,400,0.5806801381497211,0.10088557826891738,5.697667837142944
sqrt,7,4,400,0.5806801381497211,0.10088557826891738,5.975827932357788
,3,4,400,0.5805310538890083,0.10352113433243153,12.257613897323608
sqrt,7,12,800,0.5803649665247848,0.10169662448199945,11.214199781417847
sqrt,7,4,800,0.5803649665247848,0.10169662448199945,11.0007643699646
sqrt,7,8,800,0.5803649665247848,0.10169662448199945,11.143121004104614
,3,4,800,0.5795363579783832,0.1063424206054161,23.735701322555542
,3,8,400,0.578738982286304,0.10184301401207926,12.183064222335815
0.5,3,4,400,0.577584596032589,0.10080541033406365,6.443141460418701
0.5,3,12,200,0.5767002840653126,0.10286598555020754,6.242704153060913
0.5,3,12,800,0.5765029103758352,0.10593027416773948,22.22669506072998
0.5,3,4,800,0.5762561650184841,0.10571105608633828,11.801340103149414
0.5,3,8,800,0.5755166199344572,0.10540408549601168,22.44883632659912
0.5,3,12,400,0.5742048046576027,0.10112851433807774,11.369028806686401
,3,8,200,0.5734600499879094,0.11105326367954478,6.702499866485596
0.5,3,4,200,0.5725977168415389,0.10927050610803349,3.3573083877563477
0.5,3,8,400,0.5720450398655484,0.09909550207545313,11.723530054092407
,3,4,200,0.569757966460431,0.11511591281367117,6.539456367492676
0.5,3,8,200,0.5665136988921308,0.10382210837215577,6.028696775436401
sqrt,3,12,400,0.563466763917439,0.09719533908317804,5.937901496887207
sqrt,3,4,800,0.5624780272069597,0.09825663381635781,11.566534280776978
sqrt,3,12,800,0.5624354659096971,0.09776595954802804,11.162799596786499
sqrt,3,12,200,0.5617492792135919,0.0952209776604011,3.152247905731201
sqrt,3,4,400,0.5612494975349075,0.094001286490343,6.157512187957764
sqrt,3,4,200,0.5603050550434702,0.09825132640732127,3.58878493309021
sqrt,3,8,800,0.5542882691869533,0.09909787548202618,11.565651178359985
sqrt,3,8,400,0.5541677796754773,0.1008662126220282,6.351106643676758
sqrt,3,8,200,0.546985323566006,0.09770689110287678,3.274733066558838
